det_id,region,lon,lat,area_ha
1,Congo Basin,12.23615916955017,-4.5044555878501376,30.5163893312352
2,Congo Basin,12.241730076091294,-4.492957296623976,30.51636949294834
3,Congo Basin,12.249452495575653,-4.30251684819061,51.033512470330955
4,Congo Basin,12.220625144184211,-4.30251684819061,17.628502279341273
5,Congo Basin,12.1728339711463,-4.152320419048838,10.172011123197475
6,Congo Basin,12.16851072006147,-4.150883132645566,10.172029150863306
7,Congo Basin,12.254779517725058,-4.1372289118144865,28.146157791486058
8,Congo Basin,12.063021879928595,-4.135072982209582,10.171982740465666
9,Congo Basin,12.04841847395345,-4.120700118176881,147.49394920314504
10,Congo Basin,12.02536205778514,-4.120700118176888,10.171999119119716
11,Congo Basin,12.034487874447787,-4.104171324539271,53.57301829185082
12,Congo Basin,12.006340362169183,-4.099140822127827,10.1720225200014
13,Congo Basin,12.011191520701923,-4.085486601296755,17.80104982530785
14,Congo Basin,12.096111818247302,-4.079737455683674,17.801031415261992
15,Congo Basin,12.139146166716031,-4.071113737264047,25.258452722051416
16,Congo Basin,11.977041122647485,-4.070395094062411,10.17197010920781
17,Congo Basin,11.971997854609782,-4.066801878054233,17.801024983363117
18,Congo Basin,12.09293948126801,-4.061052732441152,17.801006003482193
19,Congo Basin,12.097885863865972,-4.053147657223155,50.86001023585637
20,Congo Basin,11.982613011423215,-4.053147657223155,10.172018894723578
21,Congo Basin,12.11642371700971,-4.041649365996999,96.46259270419405
22,Congo Basin,12.140918805984512,-4.040212079593733,30.51604253625408
23,Congo Basin,12.196123876123863,-2.4017055798652116,35.60028569274738
24,Congo Basin,12.214825174825165,-2.3945191478488606,25.428900419508942
25,Congo Basin,12.208973354858292,-2.3902072886390506,10.171515563623604
26,Congo Basin,11.817470081646348,-1.7851097128621154,10.171425479799685
27,Congo Basin,11.306525437944842,-1.588201475614045,66.11407290248768
28,Congo Basin,11.310748634054388,-1.5687981091698875,17.799918666872195
29,Congo Basin,11.314343227785407,-1.5623303203551615,10.171412636580891
30,Congo Basin,11.441500451317609,-1.5458015267175584,53.39989983322278
31,Congo Basin,11.59372478852314,-1.5134625826439665,274.62769599022465
32,Congo Basin,11.334201340351935,-1.519211728257051,10.17136927797394
33,Congo Basin,11.55777971259915,-1.5069947938292545,17.799993805868592
