country,shapeGroup,detections,mined_area_ha,admin_units_with_detections,admin_units_total,pct_admin_units_affected
Ghana,GHA,3747,454334.70185521,173,260,66.53846153846153
Guinea,GIN,2488,118998.47370897107,79,340,23.235294117647058
DR Congo,COD,1626,84931.46071613918,76,189,40.21164021164021
Côte d'Ivoire,CIV,1205,54506.69071628364,183,510,35.88235294117647
Cameroon,CMR,893,48101.957226693055,28,360,7.777777777777778
Nigeria,NGA,860,22280.852878841637,158,774,20.41343669250646
Liberia,LBR,503,20195.136200891837,79,136,58.08823529411765
Central African Republic,CAF,486,19907.481505849835,59,175,33.714285714285715
Sierra Leone,SLE,478,20140.587598408114,63,165,38.18181818181819
Republic of the Congo,COG,208,10251.707265660587,12,46,26.08695652173913
Gabon,GAB,169,6798.328340548661,19,49,38.775510204081634
Benin,BEN,128,2678.59065422798,45,546,8.241758241758241
Togo,TGO,106,3482.4156648856156,19,37,51.35135135135135
Equatorial Guinea,GNQ,1,3.111159307916354,1,28,3.571428571428571
