rank,adm_id,shapeName,shapeType,country,shapeGroup,adm_area_km2,detections,mined_area_ha,median_patch_ha,largest_patch_ha,sites_hosted,detections_per_1000km2,pct_area_mined,region
1,9386221B82666420307712,Bétaré-Oya,ADM3,Cameroon,CMR,11754.096014530707,369,24821.34349707725,17.80222101296945,2587.9252640509294,352,31.393311705454252,2.1117186269699078,Congo Basin
2,73739313B42651366051284,Doko,ADM3,Guinea,GIN,1610.5650943785633,353,28511.593397115725,17.91674505019854,3717.425696156621,341,219.1777291287969,17.702850692984207,West Africa
3,73739313B11539653874182,Niagassola,ADM3,Guinea,GIN,3052.5800407845963,272,11064.034649457035,15.468424626659186,2087.921969214876,265,89.10495265181926,3.6244863366836655,West Africa
4,73739313B61773659105403,Kintinian,ADM3,Guinea,GIN,1717.904305933926,254,19730.32160922951,15.469979632958186,8381.121563138282,245,147.8545685709279,11.485110981489314,West Africa
5,63176286B47500153281287,Watsa,ADM2,DR Congo,COD,16424.78498184568,239,15044.25936874811,25.429014937109557,1383.4128388215306,232,14.5511798336579,0.9159486340537506,Congo Basin
6,2480657B71205229821948,Prestea/huni Valley,ADM2,Ghana,GHA,1809.5605674694662,209,23926.37496724421,17.91343342916068,10289.253237482906,191,115.49765382668053,13.2222017860963,West Africa
7,2480657B72501418673064,Aowin,ADM2,Ghana,GHA,2609.099904357935,205,23546.966699854886,23.045073258000844,5068.464036593952,187,78.5711576845302,9.024938700325269,West Africa
8,2480657B19905724513669,Tarkwa Nsuaem,ADM2,Ghana,GHA,905.3696995445944,195,11780.294362984028,20.489219133830616,765.1890396210313,180,215.3816281880054,13.011584515043499,West Africa
9,73739313B5153686593584,Norassoba,ADM3,Guinea,GIN,2676.453890592276,169,4612.130730391719,10.249541259172497,451.32731691615703,166,63.143251073382686,1.7232244301324746,West Africa
10,63176286B5401694360976,Mambasa,ADM2,DR Congo,COD,35578.54289960388,166,12872.099480638286,30.514177637069224,1392.6994199523558,163,4.665733514394379,0.36179389124959355,Congo Basin
11,63176286B65133649587609,Djugu,ADM2,DR Congo,COD,9206.115119746763,151,7548.042907271331,25.428572818632958,867.53538485281,148,16.402141189404727,0.8198944733029756,Congo Basin
12,2480657B10255028610816,Wassa Amenfi Central,ADM2,Ghana,GHA,1845.9775810484557,141,37471.999388487,25.5766131551356,14966.762998450631,133,76.38229274697721,20.299271114226702,West Africa
13,73739313B63875816569877,Malea,ADM3,Guinea,GIN,1527.8759978635655,123,4502.338853993861,17.639269617028454,385.1669819250811,118,80.50391535176371,2.94679598363316,West Africa
14,97208781B19823152407028,Dapéoua,ADM3,Côte d'Ivoire,CIV,1078.591508473971,122,6884.073147393124,17.852623731656852,707.0962294670246,115,113.11047698920777,6.382465551887156,West Africa
15,2480657B15365927336493,Wassa Amenfi East,ADM2,Ghana,GHA,1558.1170280405406,119,54596.68769807875,17.912510070326245,44597.59054785699,108,76.37423753057382,35.040171383492634,West Africa
16,2480657B37092877755739,Nzema East,ADM2,Ghana,GHA,1084.12221996414,115,11330.223781768287,17.91414856060975,5098.19506817718,103,106.07660085022879,10.451057614281774,West Africa
17,9386221B55011074826496,Kétté,ADM3,Cameroon,CMR,1943.030023345188,114,4616.622436171591,17.801419949230663,458.85382966693834,98,58.67124986763387,2.3759913026065616,Congo Basin
18,2480657B13145859726554,Wassa Amenfi West,ADM2,Ghana,GHA,1448.356935516218,111,21120.06565644582,25.195779280695355,11302.27359589679,97,76.6385669706741,14.582086182311327,West Africa
19,59680162B91711719497512,Jos South,ADM2,Nigeria,NGA,558.6454788976044,108,2525.892329220661,10.177973129284135,163.57255513744374,100,193.32475439185572,4.521458464507932,West Africa
20,63176286B40120828568077,Kamonia,ADM2,DR Congo,COD,27051.77599472576,107,1896.4507129649824,10.173392686533923,79.43340418929564,107,3.9553780136602352,0.07010448087899036,Congo Basin
