rank,adm_id,shapeName,shapeType,country,shapeGroup,adm_area_km2,detections,mined_area_ha,median_patch_ha,largest_patch_ha,sites_hosted,detections_per_1000km2,pct_area_mined,region
21,73739313B65035371054974,Siguiri Ctre,ADM3,Guinea,GIN,922.6569982352355,105,3864.9063577899365,15.472230777858357,365.5985671015199,100,113.80177053968411,4.188887490348348,West Africa
22,9386221B69502983306293,Batouri,ADM3,Cameroon,CMR,3710.242835378162,97,4866.715919090004,25.229691036872502,463.44084941312616,93,26.143841334340426,1.3116974103917296,Congo Basin
23,73739313B32163342457455,Koundian,ADM3,Guinea,GIN,839.7786095166238,97,3104.9086814432717,15.464557686460552,441.61570817309916,94,115.50663341595848,3.6972943181185047,West Africa
24,2480657B55478680834493,Bekwai Municipal,ADM2,Ghana,GHA,535.4516929402959,95,6520.941099488866,17.907827432675695,2225.883029817896,81,177.42030000564912,12.17839290726823,West Africa
25,73739313B77493487589567,Morodou,ADM3,Guinea,GIN,854.0046694434604,92,3027.750443964674,15.464171019757586,322.36748298473435,90,107.72774821003584,3.545355842067942,West Africa
26,97208781B99390674922981,Gnanmangui,ADM3,Côte d'Ivoire,CIV,1681.7072845060052,92,5149.418926526891,17.804551770033697,740.0576704092088,91,54.70630997892397,3.062018565281717,West Africa
27,9386221B24384451871957,Garoua-Boulaï,ADM3,Cameroon,CMR,2221.244065039763,89,3837.8483899265407,18.00474354948608,307.7202548006509,80,40.06763660093642,1.7277922990681525,Congo Basin
28,9386221B78668613240419,Ngoura,ADM3,Cameroon,CMR,1718.9105456972275,88,3628.7472908521313,17.801530986420495,405.8470290582574,76,51.195217936315174,2.1110739589885017,Congo Basin
29,59680162B6096372749080,Barkin Ladi,ADM2,Nigeria,NGA,1140.7859065621244,87,1426.7595209826534,10.176573694791276,100.64864353673426,83,76.26321424515442,1.2506812301725745,West Africa
30,73739313B37512567027668,Balandougouba,ADM3,Guinea,GIN,568.6216418306971,86,3804.857249929232,16.56383425264652,786.1595868539723,81,151.2429244218001,6.691369040544011,West Africa
31,9386221B62336518359995,Meiganga,ADM3,Cameroon,CMR,6761.141877252767,86,3198.3373438613285,17.80262790158275,282.9054359676261,83,12.71974491310987,0.4730469204649938,Congo Basin
32,2480657B81329004729189,Bibiani-anhwiaso-bekwai Municipal,ADM2,Ghana,GHA,833.7236940641448,84,5805.703865847953,17.915858806987615,1718.7774194386866,67,100.75280407412438,6.96358266795435,West Africa
33,2480657B25907117051030,Atwima Mponua,ADM2,Ghana,GHA,1883.43348456095,84,13038.618671051325,21.874365336658734,6036.471214911501,70,44.599398220628615,6.922792218537399,West Africa
34,2480657B66267254954762,Sekyere South,ADM2,Ghana,GHA,416.9337037179495,83,2807.5232750931145,17.80416037833372,317.50937030597703,77,199.07241669325077,6.733740280666706,West Africa
35,2480657B25462964367622,Amansie Central,ADM2,Ghana,GHA,849.9220644990008,82,40129.93344253014,23.024840230334867,35132.867953299596,71,96.47943432123522,47.21601558395278,West Africa
36,2480657B7921909152770,Wassa East,ADM2,Ghana,GHA,1652.6011224287276,82,3639.7396666652244,17.906893837447072,469.23808864768745,75,49.61874882396883,2.2024308329865585,West Africa
37,1427508B92601755498307,Boko-Songho,ADM2,Republic of the Congo,COG,11326.24530504007,81,4639.157924799016,25.428511888325076,409.19934677824165,81,7.151531493314539,0.40959362965012197,Congo Basin
38,73739313B2111894456005,Mandiana Ctre,ADM3,Guinea,GIN,569.2432941255886,80,4669.555370648337,17.915867680241075,789.19827572895,72,140.53744826785803,8.203092454204866,West Africa
39,59680162B20429116941940,Atakunmosa West,ADM2,Nigeria,NGA,396.41285449491505,80,5260.598011491374,25.437031616695315,906.5978321229023,74,201.80980281764852,13.27050309252485,West Africa
40,2480657B91945870955547,Ahafo Ano South East,ADM2,Ghana,GHA,686.3636048068162,79,7984.890578380188,25.575087428961773,1284.070509153142,72,115.09934304024662,11.63361594708626,West Africa
41,73739313B20260119025852,Banankoro,ADM3,Guinea,GIN,1082.0793759928272,77,4221.269654318337,10.177598385012097,1217.2451592917926,75,71.15928988975611,3.9010720913567427,West Africa
42,97208781B6783741894011,Kouakro,ADM3,Côte d'Ivoire,CIV,505.3957495031477,77,3948.0268437450345,17.803134096106827,544.6507816169149,72,152.35585197481052,7.811753161015544,West Africa
43,52401652B80104604901725,Abba,ADM3,Central African Republic,CAF,3125.860389736211,75,3774.7841281307124,25.430773328498717,547.608787175534,75,23.99339402561392,1.2075984393049826,Congo Basin
44,97208781B82011274263183,Grand-Zatry,ADM3,Côte d'Ivoire,CIV,1038.1018590441452,74,2541.4002382336234,19.122504171243445,213.72922059100483,69,71.28394902224441,2.448122230099533,West Africa
45,73739313B27312623721975,Siguirini,ADM3,Guinea,GIN,2071.3257590420326,74,3839.8424318871403,20.487160746019754,566.5292035271425,72,35.725911135399706,1.8538090472369877,West Africa
46,2480657B65169023596143,Atiwa West,ADM2,Ghana,GHA,585.767692596936,72,12259.186249393346,17.803187651368546,7791.471492923992,59,122.9156215167757,20.928409682417968,West Africa
47,73739313B53416699173523,Niandankoro,ADM3,Guinea,GIN,740.1167137418162,70,1992.3110289197132,17.22922870453179,445.12279316848947,70,94.57967736750632,2.6918876332993005,West Africa
48,2480657B1767599566587,Asante Akim Central Municipal,ADM2,Ghana,GHA,300.39725372616505,69,3181.52282018154,17.89833914252608,408.0855782369077,65,229.69584157017212,10.591051618207334,West Africa
49,2480657B78031413348906,Kintampo North Municipal,ADM2,Ghana,GHA,4889.781909121511,68,1159.45876987109,10.175636414418655,66.18592971769125,67,13.906550693631397,0.23711870824099723,West Africa
50,63176286B21708239892428,Fizi,ADM2,DR Congo,COD,15021.439888837309,67,4221.7196879925505,17.80109911371996,849.0796766438073,63,4.460291456466091,0.2810462724768338,Congo Basin
51,2480657B72362309510067,Upper Denkyira West,ADM2,Ghana,GHA,579.34927145552,65,23184.765927000648,23.035747166963187,17821.22363051069,59,112.19484204527981,40.01863309287113,West Africa
52,73739313B54276492848132,Faralako,ADM3,Guinea,GIN,1271.6945004889888,65,1912.9382656070925,15.464757594061803,281.04367889087405,61,51.11290484861448,1.5042435623269064,West Africa
53,63176286B75372177576839,Irumu,ADM2,DR Congo,COD,7932.142541585256,64,3186.168892730238,17.79993323539884,459.8297412747739,57,8.068437961682099,0.4016782194755511,Congo Basin
54,2480657B81401264659986,Birim North,ADM2,Ghana,GHA,566.5499571407865,64,4344.35474473803,17.81289865261507,894.8433124047052,49,112.9644423997302,7.668087676968027,West Africa
55,62588387B70898832426748,Golakonneh,ADM2,Liberia,LBR,1798.1928952989654,62,1998.0170900132841,13.91853257856063,320.61373939332475,57,34.47905959482281,1.1111250051297172,West Africa
56,63176286B98159467986291,Wamba,ADM2,DR Congo,COD,9824.984253859071,62,3819.54432936475,28.166829742528243,1198.457437433376,60,6.310442683472755,0.38875831560386515,Congo Basin
57,63176286B94121502354965,Faradje,ADM2,DR Congo,COD,12578.193322300074,61,2880.9620045577044,18.22341569112249,368.7236756000988,58,4.849663098423853,0.22904418231909368,Congo Basin
58,2480657B89256099008264,Mpohor,ADM2,Ghana,GHA,524.6164405193888,60,1288.5551672422025,12.80567238718209,84.31680975718498,54,114.36927127292824,2.456185257874281,West Africa
59,2480657B39398526932747,Bole,ADM2,Ghana,GHA,6169.2704079386085,60,1750.5343232069572,17.775641904948195,178.05537972834009,56,9.725623296199188,0.28375062324296435,West Africa
60,37073778B48288979863705,Nimikoro,ADM3,Sierra Leone,SLE,570.3564515743107,59,3219.4338688981693,21.737204512834662,683.419827844377,51,103.4440827962003,5.644599723579555,West Africa
61,2480657B39079904074923,Asante Akim South,ADM2,Ghana,GHA,1153.906865479147,59,1929.1739761593587,14.774746053370436,218.77804456376978,39,51.13064300514488,1.6718628113528822,West Africa
62,63176286B28648737127916,Shabunda,ADM2,DR Congo,COD,24784.698643633572,58,1854.6345941173704,17.800189261628937,279.7196565987277,57,2.3401535291573303,0.07482982225381099,Congo Basin
63,63176286B66669834222633,Lupatapata,ADM2,DR Congo,COD,2100.1903255750103,58,1114.7897940834566,13.221334631957271,115.07001970638711,34,27.616544697738384,0.5308041754635922,Congo Basin
64,2480657B30283206314404,Bosome Freho,ADM2,Ghana,GHA,569.0404440198706,58,3183.5244456786427,23.03199419821068,455.9905944584718,44,101.92597136026181,5.594548646119564,West Africa
65,2480657B1960270363323,Bodi,ADM2,Ghana,GHA,662.0569896075829,57,3162.998576604222,17.802301953902766,379.5655497673396,51,86.09530734474275,4.777532185679374,West Africa
66,2480657B59515552665793,Amansie West,ADM2,Ghana,GHA,638.0642982979923,57,22749.20556500911,25.570948893351297,18755.07222160818,52,89.33268974936371,35.6534688207624,West Africa
67,2480657B39512912083476,Ellembelle,ADM2,Ghana,GHA,995.6094244202695,57,2634.9779107877785,17.911638934881683,490.85667954586444,54,57.25136645144793,2.6465979993330135,West Africa
68,59680162B1032840889978,Bokkos,ADM2,Nigeria,NGA,1592.6880124937184,57,755.5945078439217,10.175548972845606,40.94830375851148,57,35.78855340962442,0.4744146385963345,West Africa
69,2480657B7526405183619,Atiwa East,ADM2,Ghana,GHA,580.0344859666778,56,5507.596780570177,29.248249334972144,2968.5022608687973,50,96.54598365245668,9.49529194180806,West Africa
70,2480657B54074930978119,Kwaebibirem,ADM2,Ghana,GHA,803.854643421611,56,5177.218450107216,17.800169315089324,1828.505225673087,43,69.66433603174293,6.440490818178722,West Africa
71,73739313B59441777910128,Sibiribaro,ADM3,Guinea,GIN,1425.020827934231,55,1628.1200293159752,17.806116131414576,216.20697647412894,54,38.59592710636396,1.1425236722161916,West Africa
72,2480657B45731574572143,Upper Denkyira East Municipal,ADM2,Ghana,GHA,502.0405938015249,54,4312.584476012332,19.166014898875996,1904.114133245517,46,107.56102328519711,8.590111097106332,West Africa
73,2480657B44972771575405,Atwima Nwabiagya South,ADM2,Ghana,GHA,366.3693754633318,54,3256.1185204150966,16.637260458154735,651.4393073458722,46,147.39223203824963,8.887529194538223,West Africa
74,2480657B27047738560833,Afigya Kwabre South,ADM2,Ghana,GHA,223.05842847726655,52,2346.6457932985027,20.460461939899957,287.99472989175086,48,233.12277574527826,10.520318865860142,West Africa
75,2480657B74771824828795,Ejisu Municipal,ADM2,Ghana,GHA,411.43414142044645,52,1871.6580538950345,10.242235906632736,458.4507158529448,40,126.38717783719596,4.549107294385612,West Africa
76,73739313B33106633982064,Koundianakoro,ADM3,Guinea,GIN,390.09844875774644,52,2665.3445984393557,17.915579306697076,533.3146824150318,48,133.29968413253633,6.832492174544767,West Africa
77,52401652B38876207717227,Samba-Boungou,ADM3,Central African Republic,CAF,9764.377819936853,50,724.3633815196832,10.173223538915071,38.149275526937565,50,5.120653965059635,0.07418428443445542,Congo Basin
78,2480657B92670413622569,Adansi North,ADM2,Ghana,GHA,257.8967281214202,49,3594.088477072497,17.907956497131277,991.247029682003,39,189.99853296677085,13.936153836664289,West Africa
79,63176286B13611321695248,Miabi,ADM2,DR Congo,COD,1635.4147979974368,49,1068.2640361059105,10.173001015234282,186.31984324668886,44,29.96181767463547,0.653206781187255,Congo Basin
80,73739313B34508324285675,Banora,ADM3,Guinea,GIN,3182.2699388800993,49,1541.2718784699348,10.247120726090845,347.6977070605652,48,15.397813806217842,0.4843309675395851,West Africa
81,2480657B37143689168174,Amansie South,ADM2,Ghana,GHA,593.1005231107978,47,22183.738357438957,17.913938490480078,20044.29601087821,43,79.24457687793992,37.4029991426846,West Africa
82,73739313B19604805931046,Balandougou,ADM3,Guinea,GIN,918.4279249435906,46,1688.5705601385496,17.91719054628285,250.5110353639029,45,50.085585107645,1.8385444456539806,West Africa
83,2480657B56579001772859,Juaboso,ADM2,Ghana,GHA,1369.0290716240463,46,3225.1430030517618,17.78079531426303,961.3094289786492,38,33.60045520832608,2.3557885437931954,West Africa
84,63176286B83745324886444,Banalia,ADM2,DR Congo,COD,23611.61583462753,46,4623.233646304892,75.01423388735017,447.1829657216927,43,1.9481936485066331,0.19580335707159463,Congo Basin
85,97208781B97851533032092,Niakaramandougou,ADM3,Côte d'Ivoire,CIV,2780.3568842610116,45,2486.087378900468,33.1402414690652,213.50896246062155,43,16.18497260360175,0.8941612470592037,West Africa
86,37073778B83358051086144,Diang,ADM3,Sierra Leone,SLE,1063.6113012517933,45,1464.2257526721285,25.271999486282667,157.8725954625969,43,42.308689224191454,1.3766549405302868,West Africa
87,73739313B70723281608441,Kantoumanina,ADM3,Guinea,GIN,1011.7487185940497,45,2017.3388405755288,17.880547020878577,439.4542859184921,45,44.47744699151493,1.993912918791606,West Africa
88,73739313B90735414619279,Dialokoro,ADM3,Guinea,GIN,1371.026233774084,44,1501.0790454062771,15.463147540663346,261.58054974529944,42,32.0927484216544,1.0948580037554725,West Africa
89,52401652B68776126405215,Gueli,ADM3,Central African Republic,CAF,2782.7872758835174,44,6021.566884117923,31.909028549398542,2854.36842544574,42,15.811485262031134,2.16386172824012,Congo Basin
90,63176286B64695958976401,Mitwaba,ADM2,DR Congo,COD,24297.54592270256,43,1339.5579738812528,17.419466836436488,260.44634246039254,43,1.7697260512150195,0.055131410313731664,Congo Basin
91,2480657B27014820297576,Wenchi Municipal,ADM2,Ghana,GHA,1145.175307525321,42,1289.2968342944846,17.818947042443735,228.8863057087821,36,36.67560741486852,1.1258510603766025,West Africa
92,2480657B6434141016984,Abuakwa South,ADM2,Ghana,GHA,349.5070127105273,42,1717.2606560240185,25.42330303756672,269.3713954684332,41,120.16926262588534,4.9133796850202485,West Africa
93,1427508B48531502218736,Loudima,ADM2,Republic of the Congo,COG,7307.98003865996,42,1775.0870163476436,17.79970708387036,231.3960290230406,42,5.747142134737056,0.24289708058276735,Congo Basin
94,63176286B85957320837216,Kabambare,ADM2,DR Congo,COD,18835.697283678768,41,3271.2582342601904,10.17234644052048,1242.0289338314951,31,2.1767179299237687,0.17367332809572988,Congo Basin
95,2480657B26285365473669,Talensi,ADM2,Ghana,GHA,838.7834068289994,41,722.2626508340632,10.17764178096271,129.5149839795934,39,48.880318406630764,0.861083618194785,West Africa
96,2480657B53762921220630,Denkyembour,ADM2,Ghana,GHA,436.47292417318573,40,2653.532138493212,17.813398553976224,1035.8927898339289,32,91.64371438565709,6.079488535330846,West Africa
97,2480657B41275879010095,Suaman,ADM2,Ghana,GHA,399.8648642880377,39,4142.770689038511,25.474932162174007,1935.968003090055,37,97.53295046175107,10.360426881753524,West Africa
98,2480657B88279606337785,Adansi Akrofuom,ADM2,Ghana,GHA,568.4349385941929,38,10099.450382661516,28.115750163544615,5405.422537758334,35,66.85021876730258,17.76711756606421,West Africa
99,2480657B80894926360364,Offinso Municipal,ADM2,Ghana,GHA,585.844433564541,38,647.085083309076,10.24389993762449,61.31210372769211,38,64.86363584406001,1.1045339790495565,West Africa
100,63176286B33283671139480,Mwenga,ADM2,DR Congo,COD,11056.340306476177,38,3360.848816198358,17.800455891148484,1411.459774370813,35,3.436941966931115,0.303974798444813,Congo Basin
101,63176286B50174012793828,Bafwasende,ADM2,DR Congo,COD,48803.587416457696,38,2082.406698857189,17.79999911327493,791.2971396699536,34,0.7786312853547631,0.04266913169901427,Congo Basin
102,59680162B48237076936000,Riyom,ADM2,Nigeria,NGA,802.8298491520176,37,578.6539664514613,10.178094614846868,66.25858163684433,33,46.08697601251492,0.7207678776052732,West Africa
103,37073778B34841244186726,Tane,ADM3,Sierra Leone,SLE,445.85822159620244,37,1287.3297238117946,14.317541377535344,254.04068959069758,27,82.9860215822364,2.8873073579378383,West Africa
104,62588387B82153656109433,Bopolu,ADM2,Liberia,LBR,2297.5879724270053,36,1680.6953777011217,17.951451734628556,444.80027066891023,33,15.668605699555528,0.7315042548406784,West Africa
105,97208781B97931087454423,Daoukro,ADM3,Côte d'Ivoire,CIV,862.9247425715554,35,2049.857811681735,33.17792342523604,269.70855378565096,33,40.55973629368697,2.375476922324726,West Africa
106,63176286B6974395638231,Dungu,ADM2,DR Congo,COD,33714.80008085912,35,3351.1394229386888,25.429516516983195,1916.633725781802,29,1.0381197550054742,0.09939668676372276,Congo Basin
107,84187393B45474415371964,Perma,ADM3,Benin,BEN,255.86132338148053,35,947.9993135451379,16.47041341090233,122.75126984060036,33,136.7928514456098,3.705129407666289,West Africa
108,2480657B32008532681061,Sekyere Kumawu,ADM2,Ghana,GHA,576.8312222375135,35,519.7539035346068,10.24146860883311,58.76409768070601,31,60.676327235262846,0.901050226647744,West Africa
109,2480657B90441463194933,Bosomtwe,ADM2,Ghana,GHA,422.6470554950557,34,950.0111067721207,16.63256884269493,130.1428039461033,29,80.44537293694158,2.247764640544702,West Africa
110,2480657B50723205918173,Kwahu West,ADM2,Ghana,GHA,401.1055009858187,34,2265.9947409727324,17.814530660336757,982.0618808278736,32,84.76572850892435,5.649373382821912,West Africa
111,22940354B50404497002370,Mouloundou,ADM2,Gabon,GAB,15811.39456996189,34,1241.266341523304,25.428225578369933,109.52531044567192,34,2.1503479563145165,0.07850454531578335,Congo Basin
112,37073778B72408673214573,Kafe Simiria,ADM3,Sierra Leone,SLE,574.9845080942019,33,1108.9286641182416,20.351761567228024,111.59341065079614,28,57.39285065154048,1.9286235516045618,West Africa
113,62588387B58325877345443,Bokomu,ADM2,Liberia,LBR,590.4477438744694,32,783.6124993721593,16.149181027327764,123.53476830983475,20,54.19615932481787,1.327149620777884,West Africa
114,97208781B69882029195929,Namané,ADM3,Côte d'Ivoire,CIV,599.8644714401745,32,999.3862578439905,17.801497622390155,170.58703316917425,30,53.34538303822752,1.66602008524464,West Africa
115,63176286B80368275017521,Bondo,ADM2,DR Congo,COD,37641.71764513335,31,754.9315278655702,17.801014205573527,106.46368444445939,31,0.8235543418143658,0.02005571411439494,Congo Basin
116,2480657B61321065662810,Sekyere East,ADM2,Ghana,GHA,239.22287052977356,31,473.626775378589,10.240148661395427,63.86689670277365,25,129.5862721292016,1.9798557484479382,West Africa
117,84187393B32674572300168,Tanongou,ADM3,Benin,BEN,4732.1939784339465,31,516.5500244706208,10.177232592109451,63.567020346284274,30,6.550872627216143,0.10915656180298125,West Africa
118,52401652B27765994497489,Koudou-Bego,ADM3,Central African Republic,CAF,11439.4225701919,30,1821.175001468961,25.578426499350705,334.54751698083084,30,2.6225099926085464,0.1592016546547078,Congo Basin
119,56601680B44610096966608,Zio,ADM2,Togo,TGO,2264.1284222772115,30,1505.4591127583897,17.799296713212616,490.89050151406946,29,13.250131796776195,0.6649177219568807,West Africa
120,2480657B53382680619634,Juaben Municipal,ADM2,Ghana,GHA,171.20462528266336,30,790.1794772019072,15.491890510405696,125.64750886744643,27,175.2289107287213,4.615409635676022,West Africa
121,2480657B2289284937660,Twifo Atti-morkwa,ADM2,Ghana,GHA,955.8455288405568,29,2031.154903404701,35.80714888933553,451.1500958138454,27,30.33963033250475,2.1249823764604487,West Africa
122,97208781B32740797067717,Yakasse-Attobrou,ADM3,Côte d'Ivoire,CIV,624.2406426768767,29,2164.3792594739843,25.48329583873247,768.0544785070317,28,46.45644326463882,3.467219388652212,West Africa
123,63176286B83227238071318,Katanda,ADM2,DR Congo,COD,2163.202964115839,29,932.3471027803716,13.46310239763236,227.6421582966988,20,13.40604671917741,0.431003062702185,Congo Basin
124,2480657B21856882152043,Banda,ADM2,Ghana,GHA,2298.2022108134843,28,772.0645738540787,15.32803284292206,183.12910346164472,21,12.183436195585665,0.33594283837225725,West Africa
125,37073778B90057876374159,Kholifa Rowala,ADM3,Sierra Leone,SLE,450.94522952242954,28,804.7353394385608,10.169896360946236,266.51672099638813,15,62.09179777697883,1.784552284300269,West Africa
126,97208781B37695921546316,Bouaflé,ADM3,Côte d'Ivoire,CIV,1249.789334286652,28,2469.942568036236,23.546968610678732,495.298918517608,26,22.40377576592273,1.9762871231782566,West Africa
127,1427508B96128266527522,Djambala,ADM2,Republic of the Congo,COG,3652.425986272867,28,1185.396964669892,26.701828534610236,206.15681943665194,28,7.666137549462766,0.3245505779241088,Congo Basin
128,2480657B74414618551217,Nabdam,ADM2,Ghana,GHA,245.03938490818214,27,603.0050863756146,10.178178858579045,130.79989727719408,23,110.18636865301093,2.4608496572971914,West Africa
129,37073778B92821607114193,Imperri,ADM3,Sierra Leone,SLE,622.1886896382465,27,1010.0836502201975,17.80417801413977,158.04152621277896,26,43.39519578168218,1.6234362132289504,West Africa
130,62588387B55137864763124,Gounwolaila,ADM2,Liberia,LBR,719.8929228906236,27,871.3562258976308,11.473681847232957,145.47761764385857,20,37.50557776229483,1.2103969884838273,West Africa
131,2480657B45906044715427,Adansi Asokwa,ADM2,Ghana,GHA,596.0590642400238,27,1002.7259653948826,17.90507354676083,171.09082221778786,20,45.29752438950835,1.682259402721037,West Africa
132,63176286B11863220768150,Malemba-Nkulu,ADM2,DR Congo,COD,15008.754218928407,27,418.91648265080016,10.173966322959613,63.20795681901237,27,1.7989501064617834,0.02791147596530566,Congo Basin
133,2480657B78695952433486,Techiman Municipal,ADM2,Ghana,GHA,649.1987995978333,27,637.9732529845246,17.80502373187705,81.41604048548731,25,41.589725699933524,0.9827086146489139,West Africa
134,59680162B68239008143557,Mangu,ADM2,Nigeria,NGA,1619.9169805589536,27,410.1071893577319,10.17579049114922,55.96377179448836,26,16.667520819914877,0.25316555988950995,West Africa
135,59680162B29331014496737,Obokun,ADM2,Nigeria,NGA,510.31521510444725,27,2219.0200931317627,20.34606155171349,691.4810717427798,24,52.90847539098723,4.348332221835854,West Africa
136,97208781B43936330423339,Fronan,ADM3,Côte d'Ivoire,CIV,1514.1482978986362,27,1974.7194133886803,25.430774979164713,851.7191310220965,27,17.831806856350273,1.3041783398160098,West Africa
137,22940354B67631152101375,Haut-Ntem,ADM2,Gabon,GAB,14642.347232504793,27,750.1391854177231,17.799851790376263,150.02923700172698,27,1.8439666517443492,0.05123080155840565,Congo Basin
138,73739313B38940945648246,Soromaya,ADM3,Guinea,GIN,1680.7547750940053,27,696.6744469218921,20.351701717803557,81.7986477175389,24,16.06421138889216,0.41450094757751127,West Africa
139,63176286B98681964412172,Pangi,ADM2,DR Congo,COD,14211.039278252822,26,439.1640924366849,10.171832407392277,58.486567163349235,26,1.829563587216865,0.030903024320588463,Congo Basin
140,2480657B96818528094138,Sefwi Akontombra,ADM2,Ghana,GHA,1119.4985405722693,26,877.886043252544,10.48688753335739,254.280838691368,23,23.22468414001614,0.784177925594957,West Africa
141,2480657B93462158202754,Sunyani West,ADM2,Ghana,GHA,1059.330153874714,26,1197.4494955127022,25.43161951072976,345.94017765631946,22,24.543811865356375,1.1303836590819103,West Africa
142,22940354B21315660080276,Ivindo,ADM2,Gabon,GAB,17145.27245780965,25,750.4838960583271,17.79979575591445,119.51293201036881,25,1.458127892777378,0.04377206007691541,Congo Basin
143,2480657B97463209696641,Adansi South,ADM2,Ghana,GHA,760.3778227360569,24,1177.248121467657,22.922163304035443,359.6138351300043,13,31.56325616341773,1.5482410010744152,West Africa
144,97208781B50164001504088,Papara,ADM3,Côte d'Ivoire,CIV,366.9998606110594,24,1074.9051910977275,17.854827809966917,228.6806146473669,24,65.39512020533114,2.928898090882097,West Africa
145,9386221B21402585210419,Ouli,ADM3,Cameroon,CMR,659.0937977550317,24,613.5484052823801,17.80171670997886,126.84797590909412,16,36.413633509748465,0.9308969487684671,Congo Basin
146,2480657B60919857809422,Central Gonja,ADM2,Ghana,GHA,7558.114546855254,24,532.1225632979508,13.993043084372886,104.30725333585276,24,3.1753951135850156,0.07040414113852693,West Africa
147,73739313B51104233347201,Niantanina,ADM3,Guinea,GIN,854.9546706454174,23,489.8669793305714,15.461992085002954,68.62996593128686,23,26.902011053564948,0.5729742127272828,West Africa
148,52401652B86858953026695,Daba Nydou,ADM3,Central African Republic,CAF,4401.708414695318,23,436.6603611146926,17.802670943274265,70.8971792347751,22,5.225243890125338,0.09920247321628134,Congo Basin
149,22940354B86386728493807,Zadiè,ADM2,Gabon,GAB,10133.023075783974,23,1070.7251911122162,17.799846722751,259.3686205878491,23,2.2698063379492037,0.10566690543427742,Congo Basin
